station_id,location_name,day,time,num_bikes_available,num_docks_available,capacity
402,Washington Sq,5,17:19:05,10,4,15
403,Marion St at Harvard St,5,17:14:28,12,3,15
404,Mass Ave T Station,5,17:11:10,1,15,16
405,Sydney St at Carson St,5,15:57:39,3,16,19
406,Somerville City Hall Annex,5,16:41:24,3,16,19
407,Craigie at Summer St,5,17:04:11,6,13,19
408,Edgerly Education Center,5,17:12:59,3,12,15
409,Elm St at White St,5,17:20:05,5,13,19
410,Adams St at Lonsdale St,5,12:57:26,4,10,15
412,Washington St at Peters Park,5,17:12:19,2,15,19
413,Kennedy-Longfellow School 158 Spring St,5,17:17:35,5,14,19
414,Discovery Park - 30 Acorn Park Drive,5,17:17:26,9,14,23
415,Stuart St at Berkeley St,5,16:03:53,0,19,19
416,Blossom St at Charles St,5,17:01:15,1,13,15
417,Columbus Ave at W. Canton St,5,17:15:19,4,14,19
419,Central Square East Boston,5,16:36:19,7,7,15
421,Northbourne Rd at Hyde Park Ave,5,04:55:43,11,8,19
422,American Legion Hwy at Cummins Hwy,5,16:27:03,15,0,15
423,Mt. Hope St at Hyde Park Ave,5,15:42:36,7,12,19
424,Jamaica St at South St,5,15:03:50,16,3,19
425,The Dimock Center,5,17:18:48,10,6,16
426,Surface Rd at Summer St,5,16:47:02,3,23,27
427,Washington St at Denton Terr,5,16:18:50,2,17,19
428,Western Ave at Richardson St,5,12:52:36,0,18,19
430,Washington St at Walsh Playground,5,04:55:40,7,12,19
431,Washington St at Fuller St,5,04:55:43,1,14,15
432,Centre St at W. Roxbury Post Office,5,15:27:23,4,15,19
433,Centre St at Parkway YMCA,5,04:55:39,1,18,19
434,Spring St at Powell St,5,04:55:40,2,17,19
435,Central Ave at River St,5,09:02:35,9,6,15
436,Maverick St at Massport Path,5,16:41:15,9,6,15
437,Berkshire Street at Cambridge Street,5,17:20:13,5,12,19
440,Boston Landing,5,17:00:35,2,5,7
441,Sullivan Square,5,16:42:35,15,4,19
442,Hyde Park Ave at Walk Hill St,5,12:12:05,3,12,15
443,Whittier St Health Center,5,16:19:06,4,14,19
445,Geiger Gibson Community Health Center,5,16:32:16,18,1,19
446,700 Commonwealth Ave.,5,17:10:46,2,14,16
447,The Overlook at St. Gabriel's,5,17:17:17,17,2,19
448,Hale Park,5,16:58:26,1,10,11
452,1200 Beacon St,5,16:30:32,0,15,15
454,Boylston St at Dartmouth St,5,17:05:26,0,23,23
455,Coolidge Sq.,5,16:58:02,10,2,12
458,Watertown Sq,5,16:13:21,1,14,15
459,Canal St at Causeway St,5,17:16:41,1,19,23
460,Broad St at Central St,5,17:02:55,0,15,15
461,Railroad Lot and Minuteman Bikeway,5,14:10:43,11,0,11
462,Linwood St at Minuteman Bikeway,5,15:39:17,3,7,11
463,Smith Pl at Wilson Rd,5,17:03:07,4,15,19
464,Mass Ave at Grafton St,5,16:57:03,4,7,11
465,Broadway at Grafton St,5,16:41:07,3,8,11
466,Centre St at Washington St,5,13:26:55,1,10,11
467,Washington St at Crafts St,5,04:55:42,5,6,11
468,Nonantum Library,5,04:55:46,6,9,15
469,Bacon St at Washington St,5,04:55:43,0,11,11
471,MIT Carleton St at Amherst St,5,17:19:01,9,17,27
472,MIT Hayward St at Amherst St,5,17:14:57,7,20,27
473,West Newton,5,17:16:08,1,12,15
474,Watertown St at Albemarle Rd,5,14:52:12,8,3,11
475,Arsenal Yards,5,16:35:35,0,11,11
477,Marion St at White St,5,17:12:45,3,16,19
478,Gove St at Orleans St,5,15:42:46,0,18,19
479,Galileo Galilei Way at Main Street,5,17:19:55,16,2,19
480,Thorndike Field at Minuteman Bikeway,5,14:51:27,1,10,11
481,645 Summer St,5,17:17:51,12,7,19
482,Kearins Playground,5,16:51:52,1,10,11
483,Porzio Park,5,16:29:11,5,11,17
484,Revere Public Library,5,07:43:46,7,4,11
485,Revere City Hall,5,17:09:08,7,4,11
486,Langley Lot,5,13:38:42,4,7,11
487,Community Path at Lowell St,5,16:41:41,1,18,19
488,Martha Eliot Health Center,5,15:38:47,9,7,16
489,Day Sq,5,14:46:06,9,7,16
490,Blue Hill Ave at Havelock St,5,14:05:28,6,12,18
491,Harrison Ave at E. Dedham St,5,17:05:27,1,18,19
492,Harvard Stadium: N. Harvard St at Soldiers Field Rd,5,17:20:25,2,11,15
493,2 Hummingbird Lane at Olmsted Green,4,04:59:39,1,16,17
494,Watertown Town Hall,5,16:44:58,5,6,11
495,Union Square East,5,17:17:28,13,5,19
502,160 Arsenal,5,16:53:16,3,8,11
503,Cary Square,5,07:33:12,1,11,12
504,Bellingham Square,5,04:55:35,9,2,11
505,Chelsea Square,5,17:16:43,7,3,11
506,Broadway at Gerrish Ave,5,15:38:29,0,11,11
507,Chelsea Station,5,14:48:27,11,0,11
508,855 Broadway,5,16:37:19,4,7,11
509,Nichols Ave. at Watertown Greenway,5,14:25:00,0,12,12
510,Mass Ave at Broadway,5,16:51:36,9,2,11
511,Bellevue T Stop,4,17:08:58,3,16,19
512,Knoll St at Centre St,5,13:21:23,1,18,19
513,Roseland St At Dorchester Ave,4,14:30:43,0,12,12
514,Gilman Square T at Medford St,5,16:35:49,9,9,19
515,955 Mass Ave,5,17:19:41,1,18,19
516,Salem Ferry Landing,5,15:37:03,3,8,11
517,Salem Willows Park,4,19:58:40,2,13,15
518,Shetland Park - Congress at Peabody St,5,11:10:00,11,0,11
519,Mayor Salvo Path at Mill St,5,17:03:02,5,6,11
520,Salem MBTA - Washington at Federal St,5,16:12:49,5,7,13
521,Lafayette at Leach St,5,15:17:41,5,6,11
522,Salem State University - Bike Path at Loring Ave,5,17:11:35,4,11,15
523,Boston College T,5,16:30:52,0,17,17
524,Newton Highlands T,5,14:34:12,0,15,15
525,California at Chapel,5,15:11:39,12,0,12
526,Beacon at Walnut,5,16:55:34,2,13,15
527,Newton Library,5,17:08:29,3,9,13
528,Washington St at Walnut St,5,16:13:54,3,8,11
529,One Beacon St,5,17:15:42,5,11,16
530,Foley St at Grand Union Blvd,5,17:12:13,2,16,19
531,Harvard St and Stedman St,5,16:54:07,0,15,15
532,Concord Ave at Spinelli Place,5,14:46:04,3,16,19
533,Danehy Park at New Street,5,15:24:32,4,15,19
535,Auburndale,5,16:53:50,5,10,15
536,Clinton St at North St,5,15:57:06,1,17,18
538,Circuit Drive at American Legion Hwy,5,06:43:57,0,19,19
539,Walnut Ave at School St,5,15:52:21,7,11,19
540,Sumner St at Shirley Ave,5,16:28:21,0,11,11
541,Orr Sq (Shirley Ave),5,13:21:53,0,11,11
542,Hyde Park Ave at Arlington St,5,14:55:12,1,18,19
543,American Legion Hwy at Hyde Park Ave,4,09:09:04,4,14,19
544,Old Morse Park at Putnam Ave,5,17:20:30,4,11,15
